SO_Number,SO_Date,Customer_Code,Customer_Name,City,State,Material_Code,Material_Description,HSN_Code,Quantity,Unit_Price_INR,Discount_Pct,Net_Taxable_Value,GST_Type,GST_Rate_Pct,GST_Amount,Total_Invoice_Value,Payment_Terms,Sales_Rep,Order_Status,Delivery_Date,Payment_Due_Date,Payment_Received,Outstanding_INR
SO-10000,22-02-2025,CUST-1002,Mehta Traders,Ahmedabad,Gujarat,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,194,45000,5,8293500.0,IGST,18,1492830.0,9786330.0,Z045,Vikram Das,Delivered,26-02-2025,08-05-2025,5575947.11,4210382.89
SO-10001,15-05-2024,CUST-1010,Iyer Superstore,Bengaluru,Karnataka,MAT-LT-1501,Laptop 15.6 Inch Core i5 16GB,84713010,13,58000,0,754000.0,IGST,18,135720.0,889720.0,Z030,Arjun Verma,Delivered,27-05-2024,14-07-2024,548361.53,341358.47
SO-10002,13-01-2025,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-HP-2001,Wireless Headphones Noise Cancel,85183000,112,4500,3,488880.0,IGST,18,87998.4,576878.4,Z015,Priya Nair,Delivered,16-01-2025,27-02-2025,521910.67,54967.73
SO-10003,24-03-2025,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-MO-6401,Smartphone 64MP 128GB,85171200,76,22000,3,1621840.0,IGST,18,291931.2,1913771.2,Z045,Arjun Verma,Billed,02-04-2025,07-06-2025,1054689.14,859082.06
SO-10004,01-10-2024,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,72,52000,0,3744000.0,IGST,18,673920.0,4417920.0,Z015,Sneha Patel,Cancelled,05-10-2024,15-11-2024,0,4417920.0
SO-10005,11-05-2024,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,165,29500,10,4380750.0,IGST,18,788535.0,5169285.0,Z060,Priya Nair,Delivered,14-05-2024,09-08-2024,4405708.81,763576.19
SO-10006,27-08-2024,CUST-1002,Mehta Traders,Ahmedabad,Gujarat,MAT-RF-3001,Double Door Refrigerator 300L,84181000,30,32000,7,892800.0,IGST,18,160704.0,1053504.0,Z060,Rohit Sharma,Processing,09-09-2024,25-11-2024,0,1053504.0
SO-10007,23-06-2024,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-MO-6401,Smartphone 64MP 128GB,85171200,58,22000,5,1212200.0,IGST,18,218196.0,1430396.0,Z030,Priya Nair,Completed,04-07-2024,22-08-2024,1430396.0,0.0
SO-10008,23-06-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-LT-1501,Laptop 15.6 Inch Core i5 16GB,84713010,74,58000,10,3862800.0,IGST,18,695304.0,4558104.0,Z045,Arjun Verma,Billed,08-07-2024,06-09-2024,4199955.35,358148.65
SO-10009,27-07-2024,CUST-1001,Sharma Electronics Pvt. Ltd.,Pune,Maharashtra,MAT-MO-6401,Smartphone 64MP 128GB,85171200,107,22000,5,2236300.0,CGST+SGST,18,402534.0,2638834.0,Z030,Rohit Sharma,Delivered,08-08-2024,25-09-2024,2524224.33,114609.67
SO-10010,18-07-2024,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-LT-1501,Laptop 15.6 Inch Core i5 16GB,84713010,169,58000,7,9115860.0,IGST,18,1640854.8,10756714.8,Z045,Vikram Das,Delivered,01-08-2024,01-10-2024,6129339.16,4627375.64
SO-10011,01-01-2025,CUST-1005,Reddy Electronics,Hyderabad,Telangana,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,114,52000,10,5335200.0,IGST,18,960336.0,6295536.0,Z015,Vikram Das,Billed,06-01-2025,15-02-2025,3838138.87,2457397.13
SO-10012,09-12-2024,CUST-1002,Mehta Traders,Ahmedabad,Gujarat,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,33,45000,3,1440450.0,IGST,18,259281.0,1699731.0,Z045,Sneha Patel,In Transit,18-12-2024,22-02-2025,1356732.96,342998.04
SO-10013,31-01-2025,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-HP-2001,Wireless Headphones Noise Cancel,85183000,69,4500,10,279450.0,IGST,18,50301.0,329751.0,Z030,Vikram Das,Completed,13-02-2025,01-04-2025,329751.0,0.0
